,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
Unnamed: 0,id,id_str,name,screen_name,location,description,url,protected,followers_count,friends_count,listed_count,created_at,favourites_count,utc_offset,time_zone,geo_enabled,verified,statuses_count,lang,contributors_enabled,is_translator,is_translation_enabled,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_banner_url,profile_link_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,following,follow_request_sent,notifications,translator_type,withheld_in_countries
JaydeepShingal3,989438051574263809,989438051574263809,Jaydeep Shingala,JaydeepShingal3,"Surat, India",work hard💪 Have fun🤡 Make history 💯,,False,35,56,0,Thu Apr 26 09:36:29 +0000 2018,189,,,False,False,67,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1285983213676969984/8FuXws_u_normal.jpg,https://pbs.twimg.com/profile_images/1285983213676969984/8FuXws_u_normal.jpg,https://pbs.twimg.com/profile_banners/989438051574263809/1524735908,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[]
Darshan1609,825008728390909952,825008728390909952,Darshan,Darshan1609,,,,False,14,74,0,Fri Jan 27 15:53:03 +0000 2017,323,,,False,False,1,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1082647476765712384/e_n5alYM_normal.jpg,https://pbs.twimg.com/profile_images/1082647476765712384/e_n5alYM_normal.jpg,https://pbs.twimg.com/profile_banners/825008728390909952/1546958246,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[]
MangukiyaRoshan,928169753591668736,928169753591668736,Mangukiya Roshan,MangukiyaRoshan,"Gujarat, India",,,False,16,75,0,Wed Nov 08 07:58:08 +0000 2017,125,,,False,False,42,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1396411736127807490/vOlWyYj1_normal.jpg,https://pbs.twimg.com/profile_images/1396411736127807490/vOlWyYj1_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[]
Krishna87314266,1329649519756099584,1329649519756099584,Krishna,Krishna87314266,"राजस्थान, भारत",,,False,35,122,0,Fri Nov 20 04:55:57 +0000 2020,38,,,True,False,42,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1417108433862414341/GPdV_hxj_normal.jpg,https://pbs.twimg.com/profile_images/1417108433862414341/GPdV_hxj_normal.jpg,https://pbs.twimg.com/profile_banners/1329649519756099584/1605849198,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[]
Nitasavaliya1,1113820428043202560,1113820428043202560,Nitasavaliya,Nitasavaliya1,,Corporator Ward 7 Surat,,False,1863,5000,0,Thu Apr 04 15:07:38 +0000 2019,569,,,True,False,4320,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1331516105127387139/-gKsdxB2_normal.jpg,https://pbs.twimg.com/profile_images/1331516105127387139/-gKsdxB2_normal.jpg,https://pbs.twimg.com/profile_banners/1113820428043202560/1607069938,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[]
SwapnilSuhagiya,1139944315373797376,1139944315373797376,Swapnil Suhagiya,SwapnilSuhagiya,,,,False,14,32,0,Sat Jun 15 17:14:38 +0000 2019,1755,,,False,False,15,,False,False,False,F5F8FA,,,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,True,False,False,False,none,[]
Jigar_Shekhat,1009337023411318784,1009337023411318784,Jigar Shekhat,Jigar_Shekhat,,Better to be a geek than an idiot.,,False,35,92,0,Wed Jun 20 07:27:53 +0000 2018,106,,,False,False,34,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1249284343521894401/5BMNw7Oa_normal.jpg,https://pbs.twimg.com/profile_images/1249284343521894401/5BMNw7Oa_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[]
JayTank24606412,1272994825416007681,1272994825416007681,Jay Tank,JayTank24606412,,,,False,11,16,0,Tue Jun 16 20:50:02 +0000 2020,14,,,False,False,7,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1304776121548906497/RmJGeXId_normal.jpg,https://pbs.twimg.com/profile_images/1304776121548906497/RmJGeXId_normal.jpg,https://pbs.twimg.com/profile_banners/1272994825416007681/1599917843,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[]
Ravisabhediya,1308835069486866432,1308835069486866432,Ravi Sabhadiya,Ravisabhediya,"Surat, India",🎂🕙🕛♀🕐🕐♀🕐🕘🕘🕘 🏛SSASITIAN🏛 🎓Er. Ravi sabhadiya #since #1999 #undergraduate #for #mechenical 🔧🛠🔨 #luva 💪🏻patel 😎 名称文,,False,34,234,0,Wed Sep 23 18:26:29 +0000 2020,5,,,True,False,4,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1334545900111204354/whAup4Dz_normal.jpg,https://pbs.twimg.com/profile_images/1334545900111204354/whAup4Dz_normal.jpg,https://pbs.twimg.com/profile_banners/1308835069486866432/1600887555,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[]
NimeshNakum4,1292081205211529223,1292081205211529223,Nimesh Nakum,NimeshNakum4,,STILL LEARNING,,False,10,31,0,Sat Aug 08 12:52:30 +0000 2020,6,,,False,False,5,,False,False,False,F5F8FA,,,False,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,True,False,False,False,none,[]
__jay_trivedi,1242424125152346112,1242424125152346112,jay,__jay_trivedi,,computer engineer,,False,29,57,0,Tue Mar 24 12:12:57 +0000 2020,64,,,False,False,19,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1242424375174778881/yJ7b3ZA3_normal.jpg,https://pbs.twimg.com/profile_images/1242424375174778881/yJ7b3ZA3_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[]
enfieldrider15,1081172720946008065,1081172720946008065,ENFIELD RIDER BUNNY,enfieldrider15,"Gujarat, India","Motorcycle & MTB rider, Photographer/cinematographer, traveller.",https://t.co/3No1cVfwbt,False,56,115,0,Fri Jan 04 12:57:18 +0000 2019,148,,,False,False,8,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1239069359965753345/S1KOuCsC_normal.jpg,https://pbs.twimg.com/profile_images/1239069359965753345/S1KOuCsC_normal.jpg,https://pbs.twimg.com/profile_banners/1081172720946008065/1584252131,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[]
SarthakPandya14,1292003761775239168,1292003761775239168,Sarthak_Pandya🇮🇳,SarthakPandya14,,"State social media Co-convener @ABVPGujarat

| Tweets personal |",,False,168,302,0,Sat Aug 08 07:44:47 +0000 2020,420,,,False,False,1440,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1406307864742797313/5zzhkoKL_normal.jpg,https://pbs.twimg.com/profile_images/1406307864742797313/5zzhkoKL_normal.jpg,https://pbs.twimg.com/profile_banners/1292003761775239168/1625469946,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[]
mr_mechanical__,1284167923372716034,1284167923372716034,SK,mr_mechanical__,,Just an ENGINEER 🍻💜,,False,14,8,0,Fri Jul 17 16:48:09 +0000 2020,9,,,False,False,6,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1284168196702912512/AKdihGII_normal.jpg,https://pbs.twimg.com/profile_images/1284168196702912512/AKdihGII_normal.jpg,https://pbs.twimg.com/profile_banners/1284167923372716034/1596892263,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[]
Persistentsys,92198087,92198087,Persistent Systems,Persistentsys,,"Persistent Systems is a global solutions company delivering digital business acceleration, enterprise modernization, and digital product engineering.",https://t.co/GubkcxhwIr,False,53705,6718,474,Tue Nov 24 04:20:09 +0000 2009,8607,,,True,True,16722,,False,False,False,3A7AB3,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,True,http://pbs.twimg.com/profile_images/1410493339334430722/VBikPqOP_normal.png,https://pbs.twimg.com/profile_images/1410493339334430722/VBikPqOP_normal.png,https://pbs.twimg.com/profile_banners/92198087/1625124293,3A7AB3,FFA200,CCCCCC,333333,False,False,False,False,False,False,False,none,[]
VinayParmar2507,1286894265692499974,1286894265692499974,Vinay Parmar,VinayParmar2507,"Surat, India",A STUDENT,,False,18,22,0,Sat Jul 25 05:21:34 +0000 2020,164,,,False,False,5,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1293618762197786624/Nis07TVb_normal.jpg,https://pbs.twimg.com/profile_images/1293618762197786624/Nis07TVb_normal.jpg,https://pbs.twimg.com/profile_banners/1286894265692499974/1600141424,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[]
Abhishekp1799,1264920226455568384,1264920226455568384,iam_real_abhishek_parekh🇮🇳,Abhishekp1799,"Surat, India","The Rightist
#RSS's crusader,
Mech engg,Astrophysics, literature,quantum mechanics,theatre,psephology,
@ABVP- office secretary and RW comm member,
VP of ISTE SC",,False,252,619,0,Mon May 25 14:04:32 +0000 2020,2768,,,False,False,313,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1311684871723520002/oCYkPeHs_normal.jpg,https://pbs.twimg.com/profile_images/1311684871723520002/oCYkPeHs_normal.jpg,https://pbs.twimg.com/profile_banners/1264920226455568384/1590655488,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[]
pandya1623,1131432548645654529,1131432548645654529,anonymous_2316,pandya1623,,,,False,9,122,0,Thu May 23 05:31:55 +0000 2019,274,,,False,False,89,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1363021008911925249/zN_cXpIJ_normal.jpg,https://pbs.twimg.com/profile_images/1363021008911925249/zN_cXpIJ_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[]
PatoliyaBhaves2,1348300642293485568,1348300642293485568,Patoliya Bhavesh,PatoliyaBhaves2,,jenshi,,False,24,239,0,Sun Jan 10 16:08:49 +0000 2021,34,,,False,False,51,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1348658495726391300/aP45iX5e_normal.jpg,https://pbs.twimg.com/profile_images/1348658495726391300/aP45iX5e_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[]
Thoutsofsanskar,1160059429422714880,1160059429422714880,Sanskar_kanpariya,Thoutsofsanskar,,I am here for write whatever I fill.,,False,5,171,0,Sat Aug 10 05:24:55 +0000 2019,1548,,,False,False,96,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1204687363349176320/MWLSEggN_normal.jpg,https://pbs.twimg.com/profile_images/1204687363349176320/MWLSEggN_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[]
ompatel781,1343787282495459328,1343787282495459328,ompatel,ompatel781,,#programmer❤️,,False,17,23,0,Tue Dec 29 05:14:03 +0000 2020,6041,,,False,False,2,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1343788222451609601/sR-GBJO8_normal.jpg,https://pbs.twimg.com/profile_images/1343788222451609601/sR-GBJO8_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,True,True,False,False,False,False,none,[]
MuskanDesai1,1141344972198821888,1141344972198821888,don't.mind.me,MuskanDesai1,,,,False,4,65,0,Wed Jun 19 14:00:21 +0000 2019,27,,,False,False,1,,False,False,False,F5F8FA,,,False,http://pbs.twimg.com/profile_images/1272583486935896065/TDTEnAp3_normal.jpg,https://pbs.twimg.com/profile_images/1272583486935896065/TDTEnAp3_normal.jpg,,1DA1F2,C0DEED,DDEEF6,333333,True,False,True,False,False,False,False,none,[]
